scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_020,SIAPLR,512x512x160,----,2.889,1.494,2.889,0.31250;0.31251;0.80005,0.272,0.700,0.820,0.628,0.847,0.820,2.73,1.57,1.20,1.35,1.34,1.32
MTR_023,SIAPLR,512x512x160,----,3.088,1.846,3.088,0.31250;0.31249;0.80002,0.581,0.844,0.939,0.877,0.966,0.880,1.26,0.98,0.30,0.65,0.37,0.64
MTR_026,SIAPLR,512x512x160,----,3.629,2.978,3.629,0.31250;0.31248;0.79926,0.888,0.945,1.000,0.931,0.999,0.951,0.44,0.45,0.01,0.22,0.06,0.24
MTR_028,SIAPLR,512x512x160,----,4.667,2.412,4.667,0.31250;0.31250;0.80000,0.807,0.921,0.987,0.950,0.975,0.960,0.77,0.52,0.15,0.42,0.13,0.44
MTR_030,SIAPLR,512x512x160,----,4.372,2.535,4.372,0.31250;0.31253;0.79966,0.415,0.759,0.878,0.776,0.888,0.779,1.48,1.08,0.26,1.04,0.83,1.00
MTR_033,SIAPLR,512x512x160,----,4.154,2.303,4.154,0.31251;0.31246;0.79992,0.571,0.850,0.920,0.876,0.959,0.867,1.16,0.78,0.25,0.63,0.35,0.71
MTR_034,SIAPLR,512x512x160,----,4.534,2.757,4.534,0.31251;0.31254;0.79943,0.597,0.782,0.846,0.784,0.901,0.810,1.38,0.88,0.46,0.75,0.36,0.86
MTR_037,SIAPLR,512x512x160,----,3.783,1.736,3.783,0.31250;0.31253;0.79945,0.602,0.808,0.895,0.876,0.920,0.865,1.58,0.94,0.70,0.77,0.45,0.89
MTR_038,SIAPLR,512x512x160,----,4.195,2.347,4.195,0.31247;0.31246;0.79977,0.617,0.809,0.930,0.845,0.959,0.869,1.13,0.65,0.16,0.53,0.32,0.51
MTR_040,SIAPLR,512x512x160,----,4.823,2.452,4.823,0.31250;0.31250;0.80000,0.636,0.882,0.894,0.928,0.946,0.970,1.08,0.49,0.35,0.45,0.75,0.26
MTR_043,SIAPRL,512x512x160,----,4.149,1.918,4.149,0.31246;0.31251;0.79996,0.541,0.747,0.707,0.883,0.824,0.919,1.18,0.64,0.93,0.30,0.94,0.27
MTR_044,SIAPLR,512x512x160,----,3.300,1.529,3.300,0.31249;0.31244;0.80037,0.487,0.699,0.804,0.741,0.893,0.846,1.21,0.84,0.58,0.90,0.55,0.97
MTR_045,SIAPLR,512x512x160,----,3.869,1.769,3.869,0.31251;0.31250;0.80031,0.770,0.866,0.878,0.817,0.949,0.897,0.68,0.39,0.28,0.43,0.16,0.41
MTR_046,SIAPLR,512x512x160,----,4.114,2.398,4.114,0.31250;0.31250;0.80000,0.581,0.798,0.944,0.934,0.962,0.926,1.12,0.69,0.61,0.44,0.45,0.73
MTR_047,SIAPLR,512x512x160,----,3.999,2.380,3.999,0.31250;0.31251;0.80063,0.632,0.891,0.978,0.954,0.965,0.944,0.90,0.49,0.17,0.26,0.16,0.37
MTR_048,SIAPLR,512x512x160,----,4.109,2.382,4.109,0.31250;0.31250;0.80000,0.788,0.907,0.976,0.907,0.981,0.932,0.84,0.50,0.44,0.29,0.42,0.24
MTR_049,SIAPRL,512x512x160,----,4.964,2.663,4.964,0.35160;0.35160;0.80000,0.793,0.890,0.835,0.987,0.894,0.980,0.98,0.58,0.60,0.13,0.50,0.17
MTR_051,SIAPLR,512x512x160,----,5.903,2.639,5.903,0.31250;0.31250;0.80000,0.810,0.892,0.880,0.878,0.936,0.918,0.78,0.39,0.29,0.29,0.26,0.25
MTR_052,SIAPLR,512x512x160,----,3.552,1.472,3.552,0.31250;0.31250;0.80000,0.266,0.867,0.862,0.839,0.890,0.894,1.15,0.57,0.43,0.58,0.50,0.56
